Description,8-14 Nov 12,14-28 Nov 12,28 Nov-20 Dec 12,20 Dec 12-5 Feb 13,5 Feb 13 - 7 Mar 13,7 Mar 13 - 25 Apr,25 Apr - 3 June,3 June - 11 July, 11 Jul - 9 Sept, 9 Sept - 14 Oct,14 Oct -5 Nov,5 Nov-5 Dec,5 Dec-25 Feb,
Heating,107.697130208333,140.621947712418,162.1009353971,140.356439135219,154.561263519313,133.1882978122,39.7115230151374,2,2,29.7031533101046,75.1618130457113,148.209009009009,180.260786272288,
Hot Water,42.446703125,49.6295522875817,64.5828373301723,67.1469651201006,70.8067364806867,96.6851715755554,54.9371949335805,47.7894736842105,40.2733333333334,54.7882752613241,51.0290960451977,53.4576576576576,53.5257990935655,
Auxiliary - general,7.7405,-3.05221428571429,17.3977272727273,18.1968085106383,17.2703333333333,22.5048979591837,15.6948717948718,2.98157894736843,2.64166666666667,14.3828571428571,17.7272727272727,19.0433333333333,20.4121951219512,
Auxiliary - kitchen extract,4.63933333333333,4.55078571428572,24.3772727272727,71.4074468085106,61.8316666666667,41.0183673469388,13.1538461538462,4.68157894736841,9.25666666666667,27.5485714285714,13.5454545454545,13.0366666666666,21.9170731707317,
Internal lighting,54.139,60.3784285714286,65.2376818181818,58.8523404255319,55.8966666666666,59.2314285714286,62.5247307692308,55.2473684210526,34.5233333333333,83.66,75.6227272727273,95.8933333333333,79.8780487804878,
Small power,56.1466666666667,55.086,64.6613636363636,73.646170212766,56.2443333333333,75.3775510204082,74.7769230769231,57.9078947368421,45.5816666666667,78.4371428571428,72.9363636363636,77.5466666666667,72.5841463414634,
Kitchen Equipment,53.3173333333333,51.7546428571429,47.5181818181818,56.4872340425532,42.53,61.234693877551,63.8025641025641,55.2947368421053,45.805,64.3342857142857,61.3409090909091,67.8966666666667,64.2353658536585,
External Lighting,23.5585,23.4808571428571,30.15,37.6604255319149,26.9643333333333,30.5577551020408,27.0897435897436,15.6894736842105,17.8916666666667,32.6571428571429,35.7454545454546,37.8633333333333,37.9963414634146,
