Description,8-14 Nov 12,14-28 Nov 12,28 Nov-20 Dec 12,20 Dec 12-5 Feb 13,5 Feb 13 - 7 Mar 13,7 Mar 13 - 25 Apr,25 Apr - 3 June,3 June - 11 July, 11 Jul - 9 Sept, 9 Sept - 14 Oct,14 Oct -5 Nov,5 Nov-5 Dec,5 Dec-25 Feb,
Heating,95.6971302083333,98.6219477124183,154.1009353971,118.356439135219,146.561263519313,101.1882978122,27.7115230151374,0,0,17.7031533101046,53.1618130457113,116.209009009009,118.260786272288,
Hot Water,37.446703125,44.6295522875817,59.5828373301723,42.1469651201006,65.8067364806867,81.6851715755554,39.9371949335805,42.7894736842105,35.2733333333334,39.7882752613241,36.0290960451977,38.4576576576576,38.5257990935655,
Auxiliary - general,5.7405,-5.05221428571429,9.39772727272727,6.1968085106383,9.27033333333333,10.5048979591837,3.69487179487179,0.981578947368426,0.641666666666667,2.38285714285714,5.72727272727273,7.04333333333333,8.41219512195122,
Auxiliary - kitchen extract,2.63933333333333,2.55078571428572,16.3772727272727,59.4074468085106,53.8316666666667,29.0183673469388,1.15384615384615,2.68157894736841,7.25666666666668,15.5485714285714,1.54545454545455,1.03666666666665,9.91707317073172,
Internal lighting,49.139,55.3784285714286,50.2376818181818,33.8523404255319,40.8966666666667,34.2314285714286,37.5247307692308,50.2473684210526,29.5233333333333,58.66,50.6227272727273,70.8933333333333,54.8780487804878,
Small power,46.1466666666667,45.086,54.6613636363636,43.646170212766,46.2443333333333,45.3775510204082,44.7769230769231,47.9078947368421,35.5816666666667,48.4371428571429,42.9363636363636,47.5466666666667,42.5841463414634,
Kitchen Equipment,43.3173333333333,41.7546428571429,47.5181818181818,36.4872340425532,42.53,41.234693877551,43.8025641025641,45.2947368421053,35.805,44.3342857142857,41.3409090909091,47.8966666666667,44.2353658536585,
External Lighting,19.5585,19.4808571428571,24.15,23.6604255319149,20.9643333333333,16.5577551020408,13.0897435897436,11.6894736842105,13.8916666666667,18.6571428571429,21.7454545454546,23.8633333333333,23.9963414634146,
