Number,Column1,Group1,Group2,Group3,Group4,Group5,Group6,
2.4.3.1.1,,Superstructure,Stairs and Ramps,Stair Ramp Balustrades and Handrails,Wall Handrails,,Wall Handrails,
2.4.3.2,,Superstructure,Stairs and Ramps,Stair Ramp Balustrades and Handrails,Combined Balustrades and Handrails,,,
2.4.3.2.1,,Superstructure,Stairs and Ramps,Stair Ramp Balustrades and Handrails,Combined Balustrades and Handrails,,Combined Balustrades and Handrails,
2.4.4,,Superstructure,Stairs and Ramps,Ladders Chutes Slides,,,,
2.4.4.1,,Superstructure,Stairs and Ramps,Ladders Chutes Slides,Ladders,,,
2.4.4.1.1,,Superstructure,Stairs and Ramps,Ladders Chutes Slides,Ladders,,Ladders,
2.4.4.2,,Superstructure,Stairs and Ramps,Ladders Chutes Slides,Chutes,,,
2.4.4.2.1,,Superstructure,Stairs and Ramps,Ladders Chutes Slides,Chutes,,Chutes,
2.4.4.3,,Superstructure,Stairs and Ramps,Ladders Chutes Slides,Slides,,,
2.4.4.3.1,,Superstructure,Stairs and Ramps,Ladders Chutes Slides,Slides,,Slides,
2.5,,Superstructure,External Walls,,,,,
2.5.1,,Superstructure,External Walls,External Enclosing Above Ground  FLoor Level,,,,
2.5.1.1,,Superstructure,External Walls,External Enclosing Above Ground Floor Level,External Walls -Above Ground Floor,,,
2.5.1.1.1,,Superstructure,External Walls,External Enclosing Above Ground Floor Level,External Walls - Above Ground Floor,,External Walls - Above Ground Floor,
2.5.1.10,,Superstructure,External Walls,External Enclosing Above Ground Floor Level,Safety Barriers Handrails or Combined Balusters and Handrails to Facetted Glazing or Cladding Systems,,,
2.5.1.10.1,,Superstructure,External Walls,External Enclosing Above Ground Floor Level,Safety Barriers Handrails or Combined Balusters and Handrails to Facetted Glazing or Cladding Systems,,Safety Barriers Handrails or Combined Balusters and Handrails to Facetted Glazing or Cladding Systems,
2.5.1.11,,Superstructure,External Walls,External Enclosing Above Ground Floor Level,Finishes Applied to External Walls,,,
2.5.1.11.1,,Superstructure,External Walls,External Enclosing Above Ground Floor Level,Finishes Applied to External Walls,,Finishes Applied to External Walls,
2.5.1.2,,Superstructure,External Walls,External Enclosing Above Ground Floor Level,Extra Over External Walls for Plinths Cornices Ornamental Bands,,,
2.5.1.2.1,,Superstructure,External Walls,External Enclosing Above Ground Floor Level,Extra Over External Walls for Plinths Cornices Ornamental Bands,,Extra Over External Walls for Plinths Cornices Ornamental Bands,
2.5.1.3,,Superstructure,External Walls,External Enclosing Above Ground Floor Level,Extra Over External Walls for Quoins,,,
2.5.1.3.1,,Superstructure,External Walls,External Enclosing Above Ground Floor Level,Extra Over External Walls for Quoins,,Extra Over External Walls for Quoins,
2.5.1.4,,Superstructure,External Walls,External Enclosing Above Ground Floor Level,Extra Over External Walls for Forming Openings for Windows,,,
2.5.1.4.1,,Superstructure,External Walls,External Enclosing Above Ground Floor Level,Extra Over External Walls for Forming Openings for Windows,,Extra Over External Walls for Forming Openings for Windows,
2.5.1.5,,Superstructure,External Walls,External Enclosing Above Ground Floor Level,Extra Over External Walls for Forming Openings for External Doors,,,
2.5.1.5.1,,Superstructure,External Walls,External Enclosing Above Ground Floor Level,Extra Over External Walls for Forming Openings for External Doors,,Extra Over External Walls for Forming Openings for External Doors,
2.5.1.6,,Superstructure,External Walls,External Enclosing Above Ground Floor Level,Extra Over Cladding or Curtain Walling System for Integral Photovoltaic Panels,,,
2.5.1.6.1,,Superstructure,External Walls,External Enclosing Above Ground Floor Level,Extra Over Cladding or Curtain Walling System for Integral Photovoltaic Panels,,Extra Over Cladding or Curtain Walling System for Integral Photovoltaic Panels,
2.5.1.7,,Superstructure,External Walls,External Enclosing Above Ground Floor Level,Extra Over Cladding or Curtain Walling System for Integral Opening Vents and Panels,,,
2.5.1.7.1,,Superstructure,External Walls,External Enclosing Above Ground Floor Level,Extra Over Cladding or Curtain Walling System for Integral Opening Vents and Panels,,Extra Over Cladding or Curtain Walling System for Integral Opening Vents and Panels,
2.5.1.8,,Superstructure,External Walls,External Enclosing Above Ground Floor Level,Projecting Fins to Cladding or Curtain Walling System,,,
2.5.1.8.1,,Superstructure,External Walls,External Enclosing Above Ground Floor Level,Projecting Fins to Cladding or Curtain Walling System,,Projecting Fins to Cladding or Curtain Walling System,
2.5.1.9,,Superstructure,External Walls,External Enclosing Above Ground Floor Level,Extra Over Projecting Fins for Applied Artwork,,,
2.5.1.9.1,,Superstructure,External Walls,External Enclosing Above Ground Level,Extra Over Projecting Fins for Applied Artwork,,Extra Over Projecting Fins for Applied Artwork,
2.5.2,,Superstructure,External Walls,External Enclosing Ground Foor Level,,,,
2.5.2.1,,Superstructure,External Walls,External Enclosing Ground Foor Level,Brick or Block Walls ,,,
2.5.2.2,,Superstructure,External Walls,External Enclosing Ground Foor Level,Morter for Joints,,,
2.5.2.3,,Superstructure,External Walls,External Enclosing Ground Foor Level,Wall flexible insulation,,,
2.5.2.4,,Superstructure,External Walls,External Enclosing Ground Foor Level,Wall rigid and semi-rigid insulation ,,,
2.5.2.5,,Superstructure,External Walls,External Enclosing Ground Foor Level,Wall Concrete Units,,,
2.5.2.6,,Superstructure,External Walls,External Enclosing Ground Foor Level,Wall Metal studs and related layers,,,
2.5.2.7,,Superstructure,External Walls,External Enclosing Ground Foor Level,Extra Over External Walls for Quoins Plinths Cornices Ornamental Bands ,,,
2.5.2.8,,Superstructure,External Walls,External Enclosing Ground Foor Level,Extra Over External Walls for Forming Openings for External Doors and Windows,,,
2.5.2.9,,Superstructure,External Walls,External Enclosing Ground Foor Level,Finishes to External Walls,,,
2.5.3,,Superstructure,External Walls,Solar Rain Screening,,,,
2.5.3.1,,Superstructure,External Walls,Solar Rain Screening,Vertical Solar Rain Screening,,,
2.5.3.1.1,,Superstructure,External Walls,Solar Rain Screening,Vertical Solar Rain Screening,,Vertical Solar Rain Screening,
2.5.3.2,,Superstructure,External Walls,Solar Rain Screening,Horizontal Solar Rain Screening,,,
2.5.4,,Superstructure,External Walls,External Soffits,,,,
2.5.4.1,,Superstructure,External Walls,External Soffits,External Soffit,,,
2.5.4.2,,Superstructure,External Walls,External Soffits,Cornices Coverings,,,
2.5.4.3,,Superstructure,External Walls,External Soffits,Shadow Gaps,,,
2.5.4.3.1,,Superstructure,External Walls,External Soffits,Shadow Gaps,,Shadow Gaps,
2.5.4.4,,Superstructure,External Walls,External Soffits,Access Hatches,,,
2.5.4.4.1,,Superstructure,External Walls,External Soffits,Access Hatches,,Access Hatches,
2.5.4.5,,Superstructure,External Walls,External Soffits,Finishes Applied to External Soffit,,,
2.5.4.5.1,,Superstructure,External Walls,External Soffits,Finishes Applied to External Soffit,,Finishes Applied to External Soffit,
2.5.5,,Superstructure,External Walls,Subsidiary Walls Balustrades and Proprietary Balconies,,,,
2.5.5.1,,Superstructure,External Walls,Subsidiary Walls Balustrades and Proprietary Balconies,Walls,,,
2.5.5.1.1,,Superstructure,External Walls,Subsidiary Walls Balustrades and Proprietary Balconies,Walls,,Walls,
2.5.5.10,,Superstructure,External Walls,Subsidiary Walls Balustrades and Proprietary Balconies,Commissioning of Rainwater Drainage Installations,,,
2.5.5.10.1,,Superstructure,External Walls,Subsidiary Walls Balustrades and Proprietary Balconies,Commissioning of Rainwater Drainage Installations,,Commissioning of Rainwater Drainage Installations,
2.5.5.2,,Superstructure,External Walls,Subsidiary Walls Balustrades and Proprietary Balconies,Walls Forming Planters,,,
2.5.5.2.1,,Superstructure,External Walls,Subsidiary Walls Balustrades and Proprietary Balconies,Walls Forming Planters,,Walls Forming Planters,
2.5.5.3,,Superstructure,External Walls,Subsidiary Walls Balustrades and Proprietary Balconies,Combined Balustrades and Handrails,,,
2.5.5.3.1,,Superstructure,External Walls,Subsidiary Walls Balustrades and Proprietary Balconies,Combined Balustrades and Handrails,,Combined Balustrades and Handrails,
2.5.5.4,,Superstructure,External Walls,Subsidiary Walls Balustrades and Proprietary Balconies,Wall Mounted Handrails,,,
2.5.5.4.1,,Superstructure,External Walls,Subsidiary Walls Balustrades and Proprietary Balconies,Wall Mounted Handrails,,Wall Mounted Handrails,
2.5.5.5,,Superstructure,External Walls,Subsidiary Walls Balustrades and Proprietary Balconies,Parapet Railings,,,
2.5.5.5.1,,Superstructure,External Walls,Subsidiary Walls Balustrades and Proprietary Balconies,Parapet Railings,,Parapet Railings,
2.5.5.6,,Superstructure,External Walls,Subsidiary Walls Balustrades and Proprietary Balconies,Proprietary Bolt-on Balconies,,,
2.5.5.6.1,,Superstructure,External Walls,Subsidiary Walls Balustrades and Proprietary Balconies,Proprietary Bolt-on Balconies,,Proprietary Bolt-on Balconies,
2.5.5.7,,Superstructure,External Walls,Subsidiary Walls Balustrades and Proprietary Balconies,Rainwater Pipes,,,
2.5.5.7.1,,Superstructure,External Walls,Subsidiary Walls Balustrades and Proprietary Balconies,Rainwater Pipes,,Rainwater Pipes,
2.5.5.8,,Superstructure,External Walls,Subsidiary Walls Balustrades and Proprietary Balconies,Floor Outlets,,,
2.5.5.8.1,,Superstructure,External Walls,Subsidiary Walls Balustrades and Proprietary Balconies,Floor Outlets,,Floor Outlets,
2.5.5.9,,Superstructure,External Walls,Subsidiary Walls Balustrades and Proprietary Balconies,Testing of Rainwater Drainage Installations,,,
2.5.5.9.1,,Superstructure,External Walls,Subsidiary Walls Balustrades and Proprietary Balconies,Testing of Rainwater Drainage Installations,,Testing of Rainwater Drainage Installations,
2.5.6,,Superstructure,External Walls,Facade Access Cleaning Systems,,,,
2.5.6.1,,Superstructure,External Walls,Facade Access Cleaning Systems,Facade Cleaning Systems,,,
2.5.6.1.1,,Superstructure,External Walls,Facade Access Cleaning Systems,Facade Cleaning Systems,,Facade Cleaning Systems,
2.5.6.2,,Superstructure,External Walls,Facade Access Cleaning Systems,Testing of Installations,,,
2.5.6.2.1,,Superstructure,External Walls,Facade Access Cleaning Systems,Testing of Installations,,Testing of Installations,
2.5.6.3,,Superstructure,External Walls,Facade Access Cleaning Systems,Commissioning of Installations,,,
2.5.6.3.1,,Superstructure,External Walls,Facade Access Cleaning Systems,Commissioning of Installations,,Commissioning of Installations,
2.6,,Superstructure,Windows and External Doors,,,,,
2.6.1,,Superstructure,Windows and External Doors,External Windows,,,,
2.6.1.1,,Superstructure,Windows and External Doors,External Windows,Windows,,,
2.6.1.1.1,,Superstructure,Windows and External Doors,External Windows,Windows,,Windows,
2.6.1.2,,Superstructure,Windows and External Doors,External Windows,Louvers,,,
2.6.1.2.1,,Superstructure,Windows and External Doors,External Windows,Louvers,,Louvers,
2.6.1.3,,Superstructure,Windows and External Doors,External Windows,Shop Fronts,,,
2.6.1.3.1,,Superstructure,Windows and External Doors,External Windows,Shop Fronts,,Shop Fronts,
2.6.1.4,,Superstructure,Windows and External Doors,External Windows,Shutters,,,
2.6.1.4.1,,Superstructure,Windows and External Doors,External Windows,Shutters,Roller Shutters,,
2.6.1.4.1.1,,Superstructure,Windows and External Doors,External Windows,Shutters,Roller Shutters,Roller Shutters,
2.6.1.4.2,,Superstructure,Windows and External Doors,External Windows,Shutters,Sliding Shutters,,
2.6.1.4.2.1,,Superstructure,Windows and External Doors,External Windows,Shutters,Sliding Shutters,Sliding Shutters,
2.6.1.4.3,,Superstructure,Windows and External Doors,External Windows,Shutters,Grilles,,
2.6.1.4.3.1,,Superstructure,Windows and External Doors,External Windows,Shutters,Grilles,Grilles,
2.6.2,,Superstructure,Windows and External Doors,External Doors,,,,
2.6.2.1,,Superstructure,Windows and External Doors,External Doors,External Doors panels - wood,,,
2.6.2.2,,Superstructure,Windows and External Doors,External Doors,External Doors panels - glass,,,
2.6.2.3,,Superstructure,Windows and External Doors,External Doors,External Doors steel,,,
2.6.2.4,,Superstructure,Windows and External Doors,External Doors,Door frames - wood,,,
2.6.2.5,,Superstructure,Windows and External Doors,External Doors,Door frames - steel,,,
2.6.2.6,,Superstructure,Windows and External Doors,External Doors,Architraves,,,
2.6.2.7,,Superstructure,Windows and External Doors,External Doors,Shutters,,,
2.6.2.8,,Superstructure,Windows and External Doors,External Doors,Revolving doors,,,
2.6.2.9,,Superstructure,Windows and External Doors,External Doors,Specialist doors,,,
2.7,,Superstructure,Internal Walls and Partitions,,,,,
2.7.1,,Superstructure,Internal Walls and Partitions,Walls and Partitions,,,,
2.7.1.1,,Superstructure,Internal Walls and Partitions,Walls and Partitions,Brick or Block Walls ,,,
2.7.1.2,,Superstructure,Internal Walls and Partitions,Walls and Partitions,Morter for Joints,,,
2.7.1.3,,Superstructure,Internal Walls and Partitions,Walls and Partitions,Wall flexible insulation,,,
2.7.1.4,,Superstructure,Internal Walls and Partitions,Walls and Partitions,Wall rigid and semi-rigid insulation ,,,
2.7.1.5,,Superstructure,Internal Walls and Partitions,Walls and Partitions,Wall Concrete Units,,,
2.7.1.6,,Superstructure,Internal Walls and Partitions,Walls and Partitions,Wall Metal studs related layers,,,
2.7.1.7,,Superstructure,Internal Walls and Partitions,Walls and Partitions,Extra Over Internal Walls for Forming Openings,,,
2.7.1.8,,Superstructure,Internal Walls and Partitions,Walls and Partitions,Fixed Partitions,,,
2.7.1.9,,Superstructure,Internal Walls and Partitions,Walls and Partitions,Extra Over Fixed Partitions,,,
2.7.2,,Superstructure,Internal Walls and Partitions,Balustrades and Handrails,,,,
2.7.2.1,,Superstructure,Internal Walls and Partitions,Balustrades and Handrails,Combined Balustrades and Handrails,,,
2.7.3,,Superstructure,Internal Walls and Partitions,Moveable Room Dividers,,,,
2.7.3.1,,Superstructure,Internal Walls and Partitions,Moveable Room Dividers,Moveable Room Dividers and Partitions,,,
2.7.3.1.1,,Superstructure,Internal Walls and Partitions,Moveable Room Dividers,Moveable Room Dividers and Partitions,,Moveable Room Dividers and Partitions,
2.7.4,,Superstructure,Internal Walls and Partitions,Cubicles,,,,
2.7.4.1,,Superstructure,Internal Walls and Partitions,Cubicles,Cubicles,,,
2.7.4.1.1,,Superstructure,Internal Walls and Partitions,Cubicles,Cubicles,,Cubicles,
2.7.4.2,,Superstructure,Internal Walls and Partitions,Cubicles,Fixed Partitions,,,
2.7.4.2.1,,Superstructure,Internal Walls and Partitions,Cubicles,Fixed Partitions,,Fixed Partitions,
2.8,,Superstructure,Internal Doors,,,,,
2.8.1,,Superstructure,Internal Doors,Internal Doors,,,,
2.8.1.1,,Superstructure,Internal Doors,Internal Doors,,,Internal Doors,
2.8.2,,Superstructure,Internal Doors,Fire Resisting Doors,,,,
2.8.2.1,,Superstructure,Internal Doors,Fire Resisting Doors,,,Fire Resisting Doors,
2.8.3,,Superstructure,Internal Doors,Door Sets,,,,
2.8.3.1,,Superstructure,Internal Doors,Door Sets,,,Door Sets,
2.8.4,,Superstructure,Internal Doors,Composite Door and Sidelights,,,,
2.8.4.1,,Superstructure,Internal Doors,Composite Door and Sidelights,,,Composite Door and Sidelights,
2.8.5,,Superstructure,Internal Doors,Shutters,,,,
2.8.5.1,,Superstructure,Internal Doors,Shutters,Roller Shutters,,,
2.8.5.1.1,,Superstructure,Internal Doors,Shutters,Roller Shutters,,Roller Shutters,
2.8.5.2,,Superstructure,Internal Doors,Shutters,Sliding Shutters,,,
2.8.5.2.1,,Superstructure,Internal Doors,Shutters,Sliding Shutters,,Sliding Shutters,
2.8.5.3,,Superstructure,Internal Doors,Shutters,Grilles,,,
2.8.5.3.1,,Superstructure,Internal Doors,Shutters,Grilles,,Grilles,
2.8.6,,Superstructure,Internal Doors,Architraves,,,,
2.8.6.1,,Superstructure,Internal Doors,Architraves,,,Architraves,
3,,Internal Finishes,,,,,,
3.1,,Internal Finishes,Wall Finishes,,,,,
3.1.1,,Internal Finishes,Wall Finishes,Finishes to Walls and Columns,,,,
3.1.1.1,,Internal Finishes,Wall Finishes,Finishes to Walls and Columns,,,Finishes to Walls and Columns,
3.1.2,,Internal Finishes,Wall Finishes,Picture Rails Dado Rails,,,,
3.1.2.1,,Internal Finishes,Wall Finishes,Picture Rails Dado Rails,,,Picture Rails Dado Rails,
3.1.3,,Internal Finishes,Wall Finishes,Proprietary Impact and Bumper Guards Protection Strips Corner Protectors,,,,
3.1.3.1,,Internal Finishes,Wall Finishes,Proprietary Impact and Bumper Guards Protection Strips Corner Protectors,,,Proprietary Impact and Bumper Guards Protection Strips Corner Protectors,
3.2,,Internal Finishes,Floor Finishes,,,,,
3.2.1,,Internal Finishes,Floor Finishes,Finishes to Floors,,,,
3.2.1.1,,Internal Finishes,Floor Finishes,Finishes to Floors,Finishes to Floors,,,
3.2.1.1.1,,Internal Finishes,Floor Finishes,Finishes to Floors,Finishes to Floors,,Finishes to Floors,
3.2.1.2,,Internal Finishes,Floor Finishes,Finishes to Floors,Specialist Flooring Systems,,,
3.2.1.2.1,,Internal Finishes,Floor Finishes,Finishes to Floors,Specialist Flooring Systems,,Specialist Flooring Systems,
3.2.1.3,,Internal Finishes,Floor Finishes,Finishes to Floors,Skirtings,,,
3.2.1.3.1,,Internal Finishes,Floor Finishes,Finishes to Floors,Skirtings,,Skirtings,
3.2.1.4,,Internal Finishes,Floor Finishes,Finishes to Floors,Mat Wells and Mats,,,
3.2.1.4.1,,Internal Finishes,Floor Finishes,Finishes to Floors,Mat Wells and Mats,,Mat Wells and Mats,
3.2.1.5,,Internal Finishes,Floor Finishes,Finishes to Floors,Finishes to Swimming Pool Tanks Including Linings,,,
3.2.1.5.1,,Internal Finishes,Floor Finishes,Finishes to Floors,Finishes to Swimming Pool Tanks Including Linings,,Finishes to Swimming Pool Tanks Including Linings,
3.2.1.6,,Internal Finishes,Floor Finishes,Finishes to Floors,Line Markings,,,
3.2.1.6.1,,Internal Finishes,Floor Finishes,Finishes to Floors,Line Markings,,Line Markings,
3.2.1.7,,Internal Finishes,Floor Finishes,Finishes to Floors,Numeral and Symbols,,,
3.2.1.7.1,,Internal Finishes,Floor Finishes,Finishes to Floors,Numeral and Symbols,,Numeral and Symbols,
3.2.2,,Internal Finishes,Floor Finishes,Raised Access Floors,,,,
3.2.2.1,,Internal Finishes,Floor Finishes,Raised Access Floors,Raised Access Floors Systems,,,
3.2.2.1.1,,Internal Finishes,Floor Finishes,Raised Access Floors,Raised Access Floors Systems,,Raised Access Floors Systems,
3.2.2.2,,Internal Finishes,Floor Finishes,Raised Access Floors,Skirtings,,,
3.2.2.2.1,,Internal Finishes,Floor Finishes,Raised Access Floors,Skirtings,,Skirtings,
3.3,,Internal Finishes,Ceiling Finishes,,,,,
3.3.1,,Internal Finishes,Ceiling Finishes,Finishes to Ceilings,,,,
3.3.1.1,,Internal Finishes,Ceiling Finishes,Finishes to Ceilings,Finishes to Ceilings,,,
3.3.1.1.1,,Internal Finishes,Ceiling Finishes,Finishes to Ceilings,Finishes to Ceilings,,Finishes to Ceilings,
3.3.1.2,,Internal Finishes,Ceiling Finishes,Finishes to Ceilings,Cornices Covings,,,
3.3.1.2.1,,Internal Finishes,Ceiling Finishes,Finishes to Ceilings,Cornices Covings,,Cornices Covings,
3.3.2,,Internal Finishes,Ceiling Finishes,False Ceilings,,,,
3.3.2.1,,Internal Finishes,Ceiling Finishes,False Ceilings,False Ceilings,,,
3.3.2.1.1,,Internal Finishes,Ceiling Finishes,False Ceilings,False Ceilings,,False Ceilings,
3.3.2.2,,Internal Finishes,Ceiling Finishes,False Ceilings,Cornices Covings,,,
3.3.2.2.1,,Internal Finishes,Ceiling Finishes,False Ceilings,Cornices Covings,,Cornices Covings,
3.3.2.3,,Internal Finishes,Ceiling Finishes,False Ceilings,Access Hatches,,,
3.3.2.3.1,,Internal Finishes,Ceiling Finishes,False Ceilings,Access Hatches,,Access Hatches,
3.3.3,,Internal Finishes,Ceiling Finishes,Demountable Suspended Ceilings,,,,
3.3.3.1,,Internal Finishes,Ceiling Finishes,Demountable Suspended Ceilings,Demountable Suspended Ceilings,,,
3.3.3.1.1,,Internal Finishes,Ceiling Finishes,Demountable Suspended Ceilings,Demountable Suspended Ceilings,,Demountable Suspended Ceilings,
3.3.3.2,,Internal Finishes,Ceiling Finishes,Demountable Suspended Ceilings,Shadow Gaps,,,
3.3.3.2.1,,Internal Finishes,Ceiling Finishes,Demountable Suspended Ceilings,Shadow Gaps,,Shadow Gaps,
3.3.3.3,,Internal Finishes,Ceiling Finishes,Demountable Suspended Ceilings,Access Hatches,,,
3.3.3.3.1,,Internal Finishes,Ceiling Finishes,Demountable Suspended Ceilings,Access Hatches,,Access Hatches,
4,,Fittings Furnishes and Equipment,,,,,,
4.1,,Fittings Furnishes and Equipment,General Fittings Furnishings Equipment,,,,,
4.1.1,,Fittings Furnishes and Equipment,General Fittings Furnishings Equipment,Fittings,,,,
4.1.1.1,,Fittings Furnishes and Equipment,General Fittings Furnishings Equipment,Fittings,,,Fittings,
4.1.2,,Fittings Furnishes and Equipment,General Fittings Furnishings Equipment,Furnishings,,,,
4.1.2.1,,Fittings Furnishes and Equipment,General Fittings Furnishings Equipment,Furnishings,,,Furnishings,
4.1.3,,Fittings Furnishes and Equipment,General Fittings Furnishings Equipment,Equipment,,,,
4.1.3.1,,Fittings Furnishes and Equipment,General Fittings Furnishings Equipment,Equipment,,,Equipment,
4.2,,Fittings Furnishes and Equipment,Domestic Kitchen Fittings and Equipment,,,,,
4.2.1,,Fittings Furnishes and Equipment,Domestic Kitchen Fittings and Equipment,Kitchen Units,,,,
4.2.1.1,,Fittings Furnishes and Equipment,Domestic Kitchen Fittings and Equipment,Kitchen Units,,,Kitchen Units,
4.2.2,,Fittings Furnishes and Equipment,Domestic Kitchen Fittings and Equipment,Kitchen Appliances,,,,
4.2.2.1,,Fittings Furnishes and Equipment,Domestic Kitchen Fittings and Equipment,Kitchen Appliances,,,Kitchen Appliances,
4.2.3,,Fittings Furnishes and Equipment,Domestic Kitchen Fittings and Equipment,Waste Bins Towel Rails Storage Racks and Other Accessories,,,,
4.2.3.1,,Fittings Furnishes and Equipment,Domestic Kitchen Fittings and Equipment,Waste Bins Towel Rails Storage Racks and Other Accessories,,,Waste Bins Towel Rails Storage Racks and Other Accessories,
4.3,,Fittings Furnishes and Equipment,Special Purpose Fittings Furnishings and Equipment,,,,,
4.3.1,,Fittings Furnishes and Equipment,Special Purpose Fittings Furnishings and Equipment,Fittings,,,,
4.3.1.1,,Fittings Furnishes and Equipment,Special Purpose Fittings Furnishings and Equipment,Fittings,,,Fittings,
4.3.2,,Fittings Furnishes and Equipment,Special Purpose Fittings Furnishings and Equipment,Furnishings,,,,
4.3.2.1,,Fittings Furnishes and Equipment,Special Purpose Fittings Furnishings and Equipment,Furnishings,,,Furnishings,
4.3.3,,Fittings Furnishes and Equipment,Special Purpose Fittings Furnishings and Equipment,Equipment,,,,
4.3.3.1,,Fittings Furnishes and Equipment,Special Purpose Fittings Furnishings and Equipment,Equipment,,,Equipment,
4.4,,Fittings Furnishes and Equipment,Signs Notices,,,,,
4.4.1,,Fittings Furnishes and Equipment,Signs Notices,Component,,,,
4.4.1.1,,Fittings Furnishes and Equipment,Signs Notices,Component,,,Component,
4.5,,Fittings Furnishes and Equipment,Works of Art,,,,,
4.5.1,,Fittings Furnishes and Equipment,Works of Art,Objects DArt and Other Ornamental Features,,,,
4.5.1.1,,Fittings Furnishes and Equipment,Works of Art,Objects DArt and Other Ornamental Features,,,Objects DArt and Other Ornamental Features,
4.5.2,,Fittings Furnishes and Equipment,Works of Art,Decorative Features and Panels,,,,
4.5.2.1,,Fittings Furnishes and Equipment,Works of Art,Decorative Features and Panels,,,Decorative Features and Panels,
4.6,,Fittings Furnishes and Equipment,Non-Mechanical and Non-Electrical,,,,,
4.6.1,,Fittings Furnishes and Equipment,Non-Mechanical and Non-Electrical,Equipment,,,,
4.6.1.1,,Fittings Furnishes and Equipment,Non-Mechanical and Non-Electrical,Equipment,,,Equipment,
4.6.2,,Fittings Furnishes and Equipment,Non-Mechanical and Non-Electrical,Removable Ladders and the Like,,,,
4.6.2.1,,Fittings Furnishes and Equipment,Non-Mechanical and Non-Electrical,Removable Ladders and the Like,,,Removable Ladders and the Like,
4.7,,Fittings Furnishes and Equipment,Internal Planting,,,,,
4.7.1,,Fittings Furnishes and Equipment,Internal Planting,Plant and Shrub Beds,,,,
4.7.1.1,,Fittings Furnishes and Equipment,Internal Planting,Plant and Shrub Beds,,,Plant and Shrub Beds,
4.7.2,,Fittings Furnishes and Equipment,Internal Planting,Plant Containers,,,,
4.7.2.1,,Fittings Furnishes and Equipment,Internal Planting,Plant Containers,,,Plant Containers,
4.7.3,,Fittings Furnishes and Equipment,Internal Planting,Trees,,,,
4.7.3.1,,Fittings Furnishes and Equipment,Internal Planting,Trees,,,Trees,
4.7.4,,Fittings Furnishes and Equipment,Internal Planting,Tree Planters,,,,
4.7.4.1,,Fittings Furnishes and Equipment,Internal Planting,Tree Planters,,,Tree Planters,
4.8,,Fittings Furnishes and Equipment,Bird and Vermin Control,,,,,
4.8.1,,Fittings Furnishes and Equipment,Bird and Vermin Control,Wires Net Traps,,,,
4.8.1.1,,Fittings Furnishes and Equipment,Bird and Vermin Control,Wires Net Traps,,,Wires Net Traps,
4.8.2,,Fittings Furnishes and Equipment,Bird and Vermin Control,Electronic and Sonic System,,,,
4.8.2.1,,Fittings Furnishes and Equipment,Bird and Vermin Control,Electronic and Sonic System,,,Electronic and Sonic System,
4.8.3,,Fittings Furnishes and Equipment,Bird and Vermin Control,Bird Repellent Coatings,,,,
4.8.3.1,,Fittings Furnishes and Equipment,Bird and Vermin Control,Bird Repellent Coatings,,,Bird Repellent Coatings,
5,,Services,,,,,,
5.1,,Services,Sanitory Installations,,,,,
5.1.1,,Services,Sanitory Installations,Sanitory Appliances,,,,
5.1.1.1,,Services,Sanitory Installations,Sanitory Appliances,Sanitory Appliances,,,
5.1.1.1.1,,Services,Sanitory Installations,Sanitory Appliances,Sanitory Appliances,,Sanitory Appliances,
5.1.1.2,,Services,Sanitory Installations,Sanitory Appliances,Testing of Installations,,,
5.1.1.2.1,,Services,Sanitory Installations,Sanitory Appliances,Testing of Installations,,Testing of Installations,
5.1.1.3,,Services,Sanitory Installations,Sanitory Appliances,Commissioning of Installations,,,
5.1.1.3.1,,Services,Sanitory Installations,Sanitory Appliances,Commissioning of Installations,,Commissioning of Installations,
5.1.2,,Services,Sanitory Installations,Sanitory Ancillaries,,,,
5.1.2.1,,Services,Sanitory Installations,Sanitory Ancillaries,Fittings,,,
5.1.2.1.1,,Services,Sanitory Installations,Sanitory Ancillaries,Fittings,,Fittings,
5.10,,Services,Lift and Conveyor Installations,,,,,
5.10.1,,Services,Lift and Conveyor Installations,Lift and Enclosed Hoists,,,,
5.10.1.1,,Services,Lift and Conveyor Installations,Lift and Enclosed Hoists,Lifts,,,
5.10.1.1.1,,Services,Lift and Conveyor Installations,Lift and Enclosed Hoists,Lifts,Passenger Lifts,,
5.10.1.1.1.1,,Services,Lift and Conveyor Installations,Lift and Enclosed Hoists,Lifts,Passenger Lifts,Passenger Lifts,
5.10.1.1.2,,Services,Lift and Conveyor Installations,Lift and Enclosed Hoists,Lifts,Wall Climbing Lift,,
5.10.1.1.2.1,,Services,Lift and Conveyor Installations,Lift and Enclosed Hoists,Lifts,Wall Climbing Lift,Wall Climbing Lift,
5.10.1.1.3,,Services,Lift and Conveyor Installations,Lift and Enclosed Hoists,Lifts,Goods Lift,,
5.10.1.1.3.1,,Services,Lift and Conveyor Installations,Lift and Enclosed Hoists,Lifts,Goods Lift,Goods Lift,
5.10.1.1.4,,Services,Lift and Conveyor Installations,Lift and Enclosed Hoists,Lifts,Testing Lift Installations,,
5.10.1.1.4.1,,Services,Lift and Conveyor Installations,Lift and Enclosed Hoists,Lifts,Testing Lift Installations,Testing Lift Installations,
5.10.1.1.5,,Services,Lift and Conveyor Installations,Lift and Enclosed Hoists,Lifts,Commissioning Lift Installations,,
