Description,8-14 Nov 12,14-28 Nov 12,28 Nov-20 Dec 12,20 Dec 12-5 Feb 13,5 Feb 13 - 7 Mar 13,7 Mar 13 - 25 Apr,25 Apr - 3 June,3 June - 11 July, 11 Jul - 9 Sept, 9 Sept - 14 Oct,14 Oct -5 Nov,5 Nov-5 Dec,5 Dec-25 Feb,
Heating,151.697130208333,154.621947712418,98.1009353971004,174.356439135219,90.5612635193133,157.1882978122,83.7115230151374,2,1,73.7031533101046,109.161813045711,172.209009009009,174.260786272288,
Hot Water,57.446703125,64.6295522875817,39.5828373301723,62.1469651201006,45.8067364806867,101.685171575555,59.9371949335805,62.7894736842105,55.2733333333334,59.7882752613241,56.0290960451977,58.4576576576576,58.5257990935655,
Auxiliary - general,9.7405,-1.05221428571429,5.39772727272727,10.1968085106383,5.27033333333333,14.5048979591837,7.69487179487179,4.98157894736843,4.64166666666667,6.38285714285714,9.72727272727273,11.0433333333333,12.4121951219512,
Auxiliary - kitchen extract,7.63933333333333,7.55078571428572,11.3772727272727,64.4074468085106,48.8316666666667,34.0183673469388,6.15384615384615,7.68157894736841,12.2566666666667,20.5485714285714,6.54545454545455,6.03666666666665,14.9170731707317,
Internal lighting,59.139,65.3784285714286,40.2376818181818,43.8523404255319,30.8966666666667,44.2314285714286,47.5247307692308,60.2473684210526,39.5233333333333,68.66,60.6227272727273,80.8933333333333,64.8780487804878,
Small power,66.1466666666667,65.086,34.6613636363636,63.646170212766,26.2443333333333,65.3775510204082,64.7769230769231,67.9078947368421,55.5816666666667,68.4371428571428,62.9363636363636,67.5466666666667,62.5841463414634,
Kitchen Equipment,58.3173333333333,56.7546428571429,32.5181818181818,51.4872340425532,27.53,56.234693877551,58.8025641025641,60.2947368421053,50.805,59.3342857142857,56.3409090909091,62.8966666666667,59.2353658536585,
External Lighting,29.5585,29.4808571428571,14.15,33.6604255319149,10.9643333333333,26.5577551020408,23.0897435897436,21.6894736842105,23.8916666666667,28.6571428571429,31.7454545454546,33.8633333333333,33.9963414634146,
